Origin,Destination,Distance_km
"Aldersgate Street, Barbican","Warwick Avenue Station, Maida Vale",5.9916
"Aldersgate Street, Barbican","Warwick Row, Westminster",4.0522
"Aldersgate Street, Barbican","Wellington Road, St. John's Wood",5.3755
"Aldersgate Street, Barbican","Wenlock Road , Hoxton",1.1534
"Aldersgate Street, Barbican","West Cromwell Road, Earl's Court",7.6094
"Aldersgate Street, Barbican","West Smithfield Rotunda, Farringdon",0.3769
"Aldersgate Street, Barbican","Westbourne Grove, Bayswater",6.4551
"Aldersgate Street, Barbican","William IV Street, Strand",2.28
"Aldersgate Street, Barbican","Windsor Terrace, Hoxton",0.9633
"Aldersgate Street, Barbican","Woodstock Street, Mayfair",3.5373
"Aldersgate Street, Barbican","Worship Street, Shoreditch",1.2303
"Ampton Street , Clerkenwell","Albert Embankment, Vauxhall",4.1089
"Ampton Street , Clerkenwell","Aldersgate Street, Barbican",1.6169
"Ampton Street , Clerkenwell","Ampton Street , Clerkenwell",0.0
"Ampton Street , Clerkenwell","Argyle Street, Kings Cross",0.4573
"Ampton Street , Clerkenwell","Bankside Mix, Bankside",2.6955
"Ampton Street , Clerkenwell","Bath Street, St. Luke's",1.9051
"Ampton Street , Clerkenwell","Bethnal Green Road, Shoreditch",3.0392
"Ampton Street , Clerkenwell","Bolsover Street, Fitzrovia",1.8009
"Ampton Street , Clerkenwell","Borough High Street, The Borough",3.3831
"Ampton Street , Clerkenwell","Boston Place, Marylebone",3.0901
"Ampton Street , Clerkenwell","Braham Street, Aldgate",3.4197
"Ampton Street , Clerkenwell","British Museum, Bloomsbury",1.0132
"Ampton Street , Clerkenwell","Brunswick Square, Bloomsbury",0.4709
"Ampton Street , Clerkenwell","Bruton Street, Mayfair",2.5668
"Ampton Street , Clerkenwell","Calshot Street , King's Cross",0.4615
"Ampton Street , Clerkenwell","Cartwright Gardens , Bloomsbury",0.5414
"Ampton Street , Clerkenwell","Chapel Place, Marylebone",2.4027
"Ampton Street , Clerkenwell","Christopher Street, Liverpool Street",2.4243
"Ampton Street , Clerkenwell","Clerkenwell Green, Clerkenwell",1.0408
"Ampton Street , Clerkenwell","Cotton Garden Estate, Kennington",4.1448
"Ampton Street , Clerkenwell","Crawford Street, Marylebone",2.8015
"Ampton Street , Clerkenwell","Crosswall, Tower",3.3404
"Ampton Street , Clerkenwell","Doric Way , Somers Town",0.9807
"Ampton Street , Clerkenwell","Drummond Street , Euston",1.2285
"Ampton Street , Clerkenwell","Drury Lane, Covent Garden",1.4173
"Ampton Street , Clerkenwell","East Road, Hoxton",2.1388
"Ampton Street , Clerkenwell","Edgware Road Station, Marylebone",3.6532
"Ampton Street , Clerkenwell","Euston Road, Euston",1.1207
"Ampton Street , Clerkenwell","Eversholt Street , Camden Town",1.4291
"Ampton Street , Clerkenwell","Falkirk Street, Hoxton",2.7826
"Ampton Street , Clerkenwell","Finsbury Circus, Liverpool Street",2.4639
"Ampton Street , Clerkenwell","Finsbury Leisure Centre, St. Luke's",1.527
"Ampton Street , Clerkenwell","Finsbury Library , Finsbury",0.9703
"Ampton Street , Clerkenwell","Finsbury Square , Moorgate",2.3663
"Ampton Street , Clerkenwell","Godliman Street, St. Paul's",2.1126
"Ampton Street , Clerkenwell","Golden Lane, Barbican",1.7591
"Ampton Street , Clerkenwell","Gower Place , Euston",1.1908
"Ampton Street , Clerkenwell","Great Dover Street, The Borough",3.8779
"Ampton Street , Clerkenwell","Great Russell Street, Bloomsbury",1.2514
"Ampton Street , Clerkenwell","Guilford Street , Bloomsbury",0.4569
"Ampton Street , Clerkenwell","Hampstead Road, Euston",1.3927
"Ampton Street , Clerkenwell","Hardwick Street, Clerkenwell",0.7102
"Ampton Street , Clerkenwell","Harrington Square 1, Camden Town",1.579
"Ampton Street , Clerkenwell","Hatton Garden, Holborn",1.1783
"Ampton Street , Clerkenwell","Hatton Wall, Holborn",0.8964
"Ampton Street , Clerkenwell","Hereford Road, Bayswater",5.4161
"Ampton Street , Clerkenwell","Holborn Circus, Holborn",1.2333
"Ampton Street , Clerkenwell","Holy Trinity Brompton, Knightsbridge",4.8546
"Ampton Street , Clerkenwell","Hop Exchange, The Borough",3.1166
"Ampton Street , Clerkenwell","Jewry Street, Aldgate",3.2597
"Ampton Street , Clerkenwell","Leonard Circus , Shoreditch",2.3598
"Ampton Street , Clerkenwell","Lisson Grove, St. John's Wood",3.7296
"Ampton Street , Clerkenwell","Little Argyll Street, West End",2.1402
"Ampton Street , Clerkenwell","Lollard Street, Vauxhall",3.8322
"Ampton Street , Clerkenwell","Longford Street, The Regent's Park",1.7939
"Ampton Street , Clerkenwell","Malet Street, Bloomsbury",1.0454
"Ampton Street , Clerkenwell","Milroy Walk, South Bank",2.3791
"Ampton Street , Clerkenwell","Murray Grove , Hoxton",2.0128
"Ampton Street , Clerkenwell","Museum of London, Barbican",1.8387
"Ampton Street , Clerkenwell","Nesham Street, Wapping",4.2026
"Ampton Street , Clerkenwell","New Globe Walk, Bankside",2.6797
"Ampton Street , Clerkenwell","New Inn Yard, Shoreditch",2.7186
"Ampton Street , Clerkenwell","New Kent Road, The Borough",4.0524
"Ampton Street , Clerkenwell","Old Street Station, St. Luke's",2.0673
"Ampton Street , Clerkenwell","Paddington Street, Marylebone",2.6265
"Ampton Street , Clerkenwell","Park Lane , Hyde Park",3.3105
"Ampton Street , Clerkenwell","Park Road (Baker Street), The Regent's Park",2.8302
"Ampton Street , Clerkenwell","Park Street, Bankside",2.9558
"Ampton Street , Clerkenwell","Phillimore Gardens, Kensington",6.2902
"Ampton Street , Clerkenwell","Queen Street 1, Bank",2.4771
"Ampton Street , Clerkenwell","Queen Victoria Street, St. Paul's",2.2324
"Ampton Street , Clerkenwell","River Street , Clerkenwell",0.6127
"Ampton Street , Clerkenwell","Roscoe Street, St. Luke's",1.6862
"Ampton Street , Clerkenwell","Russell Square Station, Bloomsbury",0.589
"Ampton Street , Clerkenwell","Scala Street, Fitzrovia",1.4758
"Ampton Street , Clerkenwell","Shoreditch Park, Hoxton",2.3322
"Ampton Street , Clerkenwell","Soho Square , Soho",1.6189
"Ampton Street , Clerkenwell","St. Chad's Street, King's Cross",0.3603
"Ampton Street , Clerkenwell","St. John Street, Finsbury",0.9464
"Ampton Street , Clerkenwell","Stamford Street, South Bank",2.4582
"Ampton Street , Clerkenwell","Tachbrook Street, Victoria",4.15
"Ampton Street , Clerkenwell","Tanner Street, Bermondsey",4.0393
"Ampton Street , Clerkenwell","Taviton Street, Bloomsbury",0.924
"Ampton Street , Clerkenwell","Theobald's Road , Holborn",0.7515
